"filename", "language", "JavaScript", "JSON", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\caleb\bootcamp\project-3\client\public\index.html", "HTML", 0, 0, 20, 0, 23, 1, 44
"c:\Users\caleb\bootcamp\project-3\client\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 1, 26
"c:\Users\caleb\bootcamp\project-3\client\src\App.js", "JavaScript", 78, 0, 0, 0, 0, 7, 85
"c:\Users\caleb\bootcamp\project-3\client\src\__tests__\reducers.test.js", "JavaScript", 116, 0, 0, 0, 0, 25, 141
"c:\Users\caleb\bootcamp\project-3\client\src\components\BookItem\index.js", "JavaScript", 56, 0, 0, 0, 0, 7, 63
"c:\Users\caleb\bootcamp\project-3\client\src\components\BookList\index.js", "JavaScript", 64, 0, 0, 0, 0, 10, 74
"c:\Users\caleb\bootcamp\project-3\client\src\components\CartItem\index.js", "JavaScript", 61, 0, 0, 0, 0, 10, 71
"c:\Users\caleb\bootcamp\project-3\client\src\components\Cart\index.js", "JavaScript", 93, 0, 0, 0, 7, 16, 116
"c:\Users\caleb\bootcamp\project-3\client\src\components\Cart\style.css", "CSS", 0, 0, 0, 66, 0, 10, 76
"c:\Users\caleb\bootcamp\project-3\client\src\components\ClubsList\index.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"c:\Users\caleb\bootcamp\project-3\client\src\components\DeleteBtn\index.js", "JavaScript", 9, 0, 0, 0, 2, 3, 14
"c:\Users\caleb\bootcamp\project-3\client\src\components\GenreMenu\index.js", "JavaScript", 55, 0, 0, 0, 0, 8, 63
"c:\Users\caleb\bootcamp\project-3\client\src\components\Jumbotron\index.js", "JavaScript", 11, 0, 0, 0, 0, 3, 14
"c:\Users\caleb\bootcamp\project-3\client\src\components\Nav\index.js", "JavaScript", 53, 0, 0, 0, 0, 6, 59
"c:\Users\caleb\bootcamp\project-3\client\src\index.css", "CSS", 0, 0, 0, 172, 0, 39, 211
"c:\Users\caleb\bootcamp\project-3\client\src\index.js", "JavaScript", 12, 0, 0, 0, 3, 3, 18
"c:\Users\caleb\bootcamp\project-3\client\src\pages\Club.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"c:\Users\caleb\bootcamp\project-3\client\src\pages\ClubsList.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
