"filename", "language", "Markdown", "JavaScript", "CSS", "HTML", "JSON", "comment", "blank", "total"
"c:\Users\caleb\bootcamp\Project-3\README.md", "Markdown", 9, 0, 0, 0, 0, 0, 10, 19
"c:\Users\caleb\bootcamp\Project-3\client\public\index.html", "HTML", 0, 0, 0, 20, 0, 23, 1, 44
"c:\Users\caleb\bootcamp\Project-3\client\public\manifest.json", "JSON", 0, 0, 0, 0, 25, 0, 1, 26
"c:\Users\caleb\bootcamp\Project-3\client\src\App.js", "JavaScript", 0, 61, 0, 0, 0, 0, 7, 68
"c:\Users\caleb\bootcamp\Project-3\client\src\__tests__\reducers.test.js", "JavaScript", 0, 116, 0, 0, 0, 0, 25, 141
"c:\Users\caleb\bootcamp\Project-3\client\src\components\BookItem\index.js", "JavaScript", 0, 49, 0, 0, 0, 0, 7, 56
"c:\Users\caleb\bootcamp\Project-3\client\src\components\BookList\index.js", "JavaScript", 0, 63, 0, 0, 0, 0, 12, 75
"c:\Users\caleb\bootcamp\Project-3\client\src\components\CartItem\index.js", "JavaScript", 0, 61, 0, 0, 0, 0, 10, 71
"c:\Users\caleb\bootcamp\Project-3\client\src\components\Cart\index.js", "JavaScript", 0, 93, 0, 0, 0, 7, 16, 116
"c:\Users\caleb\bootcamp\Project-3\client\src\components\Cart\style.css", "CSS", 0, 0, 66, 0, 0, 0, 10, 76
"c:\Users\caleb\bootcamp\Project-3\client\src\components\ClubItem\index.js", "JavaScript", 0, 31, 0, 0, 0, 0, 8, 39
"c:\Users\caleb\bootcamp\Project-3\client\src\components\ClubsList\index.js", "JavaScript", 0, 57, 0, 0, 0, 0, 9, 66
"c:\Users\caleb\bootcamp\Project-3\client\src\components\DeleteBtn\index.js", "JavaScript", 0, 9, 0, 0, 0, 2, 3, 14
"c:\Users\caleb\bootcamp\Project-3\client\src\components\GenreMenu\index.js", "JavaScript", 0, 51, 0, 0, 0, 0, 8, 59
"c:\Users\caleb\bootcamp\Project-3\client\src\components\Jumbotron\index.js", "JavaScript", 0, 11, 0, 0, 0, 0, 3, 14
"c:\Users\caleb\bootcamp\Project-3\client\src\components\Nav\index.js", "JavaScript", 0, 53, 0, 0, 0, 0, 7, 60
"c:\Users\caleb\bootcamp\Project-3\client\src\components\PostBox\index.js", "JavaScript", 0, 14, 0, 0, 0, 3, 4, 21
"c:\Users\caleb\bootcamp\Project-3\client\src\index.css", "CSS", 0, 0, 172, 0, 0, 200, 36, 408
"c:\Users\caleb\bootcamp\Project-3\client\src\index.js", "JavaScript", 0, 12, 0, 0, 0, 3, 3, 18
"c:\Users\caleb\bootcamp\Project-3\client\src\pages\ClubDetail.js", "JavaScript", 0, 112, 0, 0, 0, 5, 17, 134
"c:\Users\caleb\bootcamp\Project-3\client\src\pages\Clubs.js", "JavaScript", 0, 12, 0, 0, 0, 0, 3, 15
"c:\Users\caleb\bootcamp\Project-3\client\src\pages\Detail.js", "JavaScript", 0, 99, 0, 0, 0, 3, 17, 119
"c:\Users\caleb\bootcamp\Project-3\client\src\pages\Home.js", "JavaScript", 0, 14, 0, 0, 0, 0, 3, 17
"c:\Users\caleb\bootcamp\Project-3\client\src\pages\Login.js", "JavaScript", 0, 69, 0, 0, 0, 0, 7, 76
"c:\Users\caleb\bootcamp\Project-3\client\src\pages\NewClub.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\caleb\bootcamp\Project-3\client\src\pages\NoMatch.js", "JavaScript", 0, 17, 0, 0, 0, 0, 3, 20
"c:\Users\caleb\bootcamp\Project-3\client\src\pages\OrderHistory.js", "JavaScript", 0, 46, 0, 0, 0, 0, 7, 53
"c:\Users\caleb\bootcamp\Project-3\client\src\pages\Signup.js", "JavaScript", 0, 74, 0, 0, 0, 0, 8, 82
"c:\Users\caleb\bootcamp\Project-3\client\src\pages\Success.js", "JavaScript", 0, 35, 0, 0, 0, 0, 9, 44
"c:\Users\caleb\bootcamp\Project-3\client\src\serviceWorker.js", "JavaScript", 0, 100, 0, 0, 0, 31, 14, 145
"c:\Users\caleb\bootcamp\Project-3\client\src\utils\GlobalState.js", "JavaScript", 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\caleb\bootcamp\Project-3\client\src\utils\actions.js", "JavaScript", 0, 12, 0, 0, 0, 0, 4, 16
"c:\Users\caleb\bootcamp\Project-3\client\src\utils\auth.js", "JavaScript", 0, 32, 0, 0, 0, 5, 9, 46
"c:\Users\caleb\bootcamp\Project-3\client\src\utils\helpers.js", "JavaScript", 0, 52, 0, 0, 0, 0, 7, 59
